ticket_id,title,description,issue_type,customer_type,channel,previous_complaints,hours_open,impact_level,priority
TKT-10057,Two-factor authentication failing sometimes,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Technical Bug,Premium,Phone Call,4,8.4,Medium,Medium
TKT-10058,Critical bug causing data exposure,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Technical Bug,Regular,Chat,7,3.01,High,High
TKT-10059,Two-factor authentication failing sometimes,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Server Down,Premium,Chat,3,9.28,Low,Medium
TKT-10060,Export to PDF producing blank file,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Account Suspension,Regular,Phone Call,5,11.15,High,Medium
TKT-10061,Intermittent login failures reported,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Feature Request,Premium,Chat,4,4.45,Medium,Medium
TKT-10062,API endpoint returning 500 errors in production,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Account Suspension,Premium,Email,15,3.8,High,High
TKT-10063,Two-factor authentication failing sometimes,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Other,Premium,Email,6,2.3,High,Medium
TKT-10064,Request to add dark mode,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Other,Regular,Phone Call,1,13.46,Low,Low
TKT-10065,Spelling error in help documentation,"On mobile screens below 375px, the navigation menu overlaps the logo slightly. It is a minor cosmetic issue.",Other,Premium,Chat,0,57.11,Low,Low
TKT-10066,Server completely down – production halted,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Security Problem,Regular,Email,9,1.59,High,High
TKT-10067,Report generation taking too long,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Security Problem,Premium,Phone Call,6,12.41,Medium,Medium
TKT-10068,Add CSV export option,There is a small spelling error on the help page – 'recieve' should be 'receive'. Minor but worth fixing.,Feature Request,Regular,Chat,2,5.85,Low,Low
TKT-10069,API endpoint returning 500 errors in production,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Security Problem,Premium,Phone Call,14,2.09,High,High
TKT-10070,Request for additional report filter,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Feature Request,Regular,Email,2,26.59,Low,Low
TKT-10071,DDoS attack in progress – site unreachable,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Account Suspension,Premium,Chat,13,1.52,Low,High
TKT-10072,Database corruption – data loss risk,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Account Suspension,Premium,Email,12,2.8,High,High
TKT-10073,Report generation taking too long,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Login Issue,Premium,Phone Call,5,15.41,Medium,Medium
TKT-10074,Search results returning outdated data,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Payment Issue,Premium,Chat,6,5.62,Medium,Medium
TKT-10075,Two-factor authentication failing sometimes,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Technical Bug,Regular,Chat,3,7.68,Medium,Medium
TKT-10076,Critical payment failure affecting all users,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Login Issue,Regular,Phone Call,15,2.76,Medium,High
TKT-10077,Profile update not saving properly,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Feature Request,Regular,Chat,2,6.63,Medium,Medium
TKT-10078,Payment gateway rejected all transactions,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Login Issue,Regular,Phone Call,11,1.17,High,High
TKT-10079,Spelling error in help documentation,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Other,Regular,Email,3,37.07,Low,Low
TKT-10080,DDoS attack in progress – site unreachable,Our production server has gone completely offline. All users are unable to access the system. This is causing massive revenue loss every minute. Immediate intervention required.,Account Suspension,Premium,Email,4,2.31,High,High
TKT-10081,Critical bug causing data exposure,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Payment Issue,Premium,Phone Call,11,3.06,High,High
TKT-10082,Payment gateway rejected all transactions,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Technical Bug,Premium,Phone Call,12,3.96,High,High
TKT-10083,Critical payment failure affecting all users,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Security Problem,Premium,Email,4,0.63,Medium,High
TKT-10084,Login completely broken for all premium users,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Security Problem,Premium,Phone Call,3,0.93,High,High
TKT-10085,Change password label text suggestion,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Other,Regular,Phone Call,1,33.48,Low,Low
TKT-10086,Account suspended unexpectedly – urgent,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Payment Issue,Premium,Chat,7,2.38,High,High
TKT-10087,Search results returning outdated data,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Security Problem,Regular,Phone Call,5,11.26,Medium,Medium
TKT-10088,Login completely broken for all premium users,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Security Problem,Premium,Phone Call,6,3.85,High,High
TKT-10089,Intermittent login failures reported,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Feature Request,Regular,Chat,2,9.94,Medium,Medium
TKT-10090,Critical bug causing data exposure,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Security Problem,Premium,Chat,4,1.88,High,High
TKT-10091,Feature not working as expected,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Technical Bug,Premium,Phone Call,6,18.96,High,Medium
TKT-10092,Critical payment failure affecting all users,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Login Issue,Premium,Email,15,1.62,High,High
TKT-10093,Two-factor authentication failing sometimes,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Technical Bug,Premium,Chat,3,12.83,Medium,Medium
TKT-10094,Request to add dark mode,"On mobile screens below 375px, the navigation menu overlaps the logo slightly. It is a minor cosmetic issue.",Feature Request,Regular,Email,3,64.02,Low,Low
TKT-10095,Tooltip text unclear on settings page,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Server Down,Regular,Email,0,42.0,Low,Low
TKT-10096,Payment processing delayed by 2-3 minutes,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Technical Bug,Regular,Chat,5,14.4,Medium,Medium
TKT-10097,Request to add dark mode,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Feature Request,Regular,Chat,1,62.89,Low,Low
TKT-10098,Two-factor authentication failing sometimes,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Account Suspension,Premium,Phone Call,3,16.91,Medium,Medium
TKT-10099,Feature not working as expected,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Technical Bug,Premium,Chat,5,15.49,Medium,Medium
TKT-10100,Request to add dark mode,There is a small spelling error on the help page – 'recieve' should be 'receive'. Minor but worth fixing.,Feature Request,Regular,Phone Call,3,7.92,Medium,Low
TKT-10101,Update FAQ section,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Other,Regular,Phone Call,1,38.19,Low,Low
TKT-10102,Add CSV export option,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Other,Regular,Phone Call,3,6.03,Low,Low
TKT-10103,Change password label text suggestion,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Other,Premium,Phone Call,3,48.54,Medium,Low
TKT-10104,Update FAQ section,"On mobile screens below 375px, the navigation menu overlaps the logo slightly. It is a minor cosmetic issue.",Security Problem,Regular,Email,3,63.45,Low,Low
TKT-10105,Account suspended unexpectedly – urgent,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Account Suspension,Premium,Email,4,3.04,High,High
TKT-10106,Email notifications not arriving,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Payment Issue,Regular,Email,3,7.81,Medium,Medium
TKT-10107,Profile update not saving properly,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Login Issue,Premium,Phone Call,4,12.77,Medium,Medium
TKT-10108,DDoS attack in progress – site unreachable,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Technical Bug,Premium,Phone Call,15,1.86,High,High
TKT-10109,DDoS attack in progress – site unreachable,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Other,Premium,Chat,9,2.76,High,High
TKT-10110,Login completely broken for all premium users,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Payment Issue,Premium,Chat,8,2.3,High,High
TKT-10111,Login completely broken for all premium users,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Payment Issue,Regular,Phone Call,15,2.98,Low,High
TKT-10112,Email notifications not arriving,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Feature Request,Premium,Phone Call,6,4.61,Medium,Medium
TKT-10113,Minor UI alignment issue on mobile,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Other,Regular,Chat,2,57.84,Low,Low
TKT-10114,Payment processing delayed by 2-3 minutes,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Login Issue,Premium,Chat,2,3.51,Medium,Medium
TKT-10115,Email notifications not arriving,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Login Issue,Regular,Chat,4,19.38,Medium,Medium
TKT-10116,Spelling error in help documentation,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Technical Bug,Regular,Chat,3,69.81,Medium,Low
TKT-10117,Login completely broken for all premium users,Our production server has gone completely offline. All users are unable to access the system. This is causing massive revenue loss every minute. Immediate intervention required.,Login Issue,Premium,Phone Call,8,2.69,High,High
TKT-10118,Dashboard displaying incorrect statistics,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Security Problem,Premium,Phone Call,5,17.8,Medium,Medium
TKT-10119,Critical payment failure affecting all users,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Server Down,Premium,Email,9,0.47,Low,High
TKT-10120,Search results returning outdated data,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Payment Issue,Regular,Phone Call,2,8.38,Medium,Medium
TKT-10121,Two-factor authentication failing sometimes,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Feature Request,Regular,Phone Call,4,13.44,High,Medium
TKT-10122,Email notifications not arriving,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Security Problem,Premium,Email,4,19.06,High,Medium
TKT-10123,Add CSV export option,There is a small spelling error on the help page – 'recieve' should be 'receive'. Minor but worth fixing.,Other,Regular,Email,0,31.68,Low,Low
TKT-10124,Spelling error in help documentation,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Account Suspension,Regular,Email,0,8.39,Low,Low
TKT-10125,Request to add dark mode,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Other,Regular,Email,1,59.47,Low,Low
TKT-10126,Tooltip text unclear on settings page,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Feature Request,Regular,Email,1,41.19,Medium,Low
TKT-10127,Intermittent login failures reported,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Payment Issue,Regular,Chat,2,12.19,Low,Medium
TKT-10128,Login completely broken for all premium users,A premium customer's account was suspended without warning. They have an active subscription and are unable to access any service. Client is threatening legal action.,Payment Issue,Premium,Email,10,3.11,High,High
TKT-10129,Report generation taking too long,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Payment Issue,Regular,Email,6,10.91,Medium,Medium
TKT-10130,DDoS attack in progress – site unreachable,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Technical Bug,Premium,Email,14,3.64,Medium,High
TKT-10131,Feature not working as expected,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Payment Issue,Regular,Phone Call,5,11.42,Medium,Medium
TKT-10132,Search results returning outdated data,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Feature Request,Premium,Phone Call,6,3.17,Medium,Medium
TKT-10133,Report generation taking too long,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Technical Bug,Premium,Phone Call,3,16.72,Medium,Medium
TKT-10134,Login completely broken for all premium users,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Security Problem,Premium,Email,5,2.75,High,High
TKT-10135,Change password label text suggestion,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Login Issue,Regular,Phone Call,1,42.28,Low,Low
TKT-10136,Payment processing delayed by 2-3 minutes,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Technical Bug,Regular,Chat,4,17.49,Medium,Medium
TKT-10137,Dashboard displaying incorrect statistics,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Feature Request,Premium,Chat,6,10.16,High,Medium
TKT-10138,Add CSV export option,It would be great if we could export the analytics report as a PDF directly from the dashboard. Currently we have to use print screen.,Other,Regular,Phone Call,3,61.63,High,Low
TKT-10139,Two-factor authentication failing sometimes,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Feature Request,Regular,Phone Call,6,6.08,Medium,Medium
TKT-10140,Add CSV export option,"On mobile screens below 375px, the navigation menu overlaps the logo slightly. It is a minor cosmetic issue.",Payment Issue,Regular,Email,3,9.66,Medium,Low
TKT-10141,Payment gateway rejected all transactions,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Technical Bug,Premium,Phone Call,5,1.48,High,High
TKT-10142,Intermittent login failures reported,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Login Issue,Regular,Chat,6,2.55,Medium,Medium
TKT-10143,Search results returning outdated data,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Login Issue,Regular,Phone Call,1,7.56,Medium,Medium
TKT-10144,Search results returning outdated data,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Security Problem,Premium,Email,4,19.7,Low,Medium
TKT-10145,Report generation taking too long,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Account Suspension,Premium,Email,1,1.15,Medium,Medium
TKT-10146,Payment gateway rejected all transactions,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Feature Request,Regular,Phone Call,15,1.42,High,High
TKT-10147,Server completely down – production halted,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Server Down,Regular,Phone Call,12,1.72,High,High
TKT-10148,Payment processing delayed by 2-3 minutes,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Payment Issue,Premium,Chat,5,9.74,Medium,Medium
TKT-10149,Critical payment failure affecting all users,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Technical Bug,Premium,Chat,4,1.58,High,High
TKT-10150,Security breach detected – immediate action needed,Our production server has gone completely offline. All users are unable to access the system. This is causing massive revenue loss every minute. Immediate intervention required.,Feature Request,Premium,Chat,11,0.78,High,High
TKT-10151,Feature not working as expected,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Payment Issue,Premium,Phone Call,2,12.45,Medium,Medium
TKT-10152,DDoS attack in progress – site unreachable,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Account Suspension,Regular,Phone Call,10,2.72,High,High
